MISSION,MISSION STATEMENT,GOAL,GOAL STATEMENT,ACTION,ACTION STATEMENT,PROGRAMME,REPORT SUMMARY,Action Formal Stakeholder,Formal Stakeholder,Action Category,Report Category
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),The Irish Farmers Association is actively involved in leading the development of a retail charter within the National Strategy for Horticulture (2023-2027).,Food For Health Ireland,Irish Farmers' Association,Producers,Trade Association
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Bord Bia is actively involved in consumer promotion within the National Strategy for Horticulture (2023-2027).,Food For Health Ireland,Bord Bia The Irish Food Board,Producers,"Branding, Marketing And Distribution"
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Teagasc is actively involved in the implementation of the National Strategy for Horticulture (2023 – 2027).,Food For Health Ireland,Teagasc The Agriculture And Food Development Authority,Research And Regulatory,Semi-State Agency
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Actively involved in the implementation of the National Strategy for Horticulture.,Food For Health Ireland,Enterprise Ireland,Research And Regulatory,"Department Of Business, Employment And Retail"
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Producer Organisations are actively involved in workshops with interested growers as part of the National Strategy for Horticulture.,Food For Health Ireland,Retailers,Research And Regulatory,Sales And Retail
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Actively involved in the development of the retail charter and participating in working groups.,Food For Health Ireland,Producers,Research And Regulatory,Producers
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Actively involved in leading the development and implementation of the National Strategy for Horticulture (2023-2027).,Farmers’ Markets,Horticulture Industry Forum,Research And Regulatory,Trade Association
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),The Irish Farmers Association is actively involved in leading the development of a retail charter within the National Strategy for Horticulture (2023-2027).,Farmers’ Markets,Irish Farmers' Association,Research And Regulatory,Trade Association
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Bord Bia is actively involved in consumer promotion within the National Strategy for Horticulture (2023 – 2027).,Farmers’ Markets,Bord Bia The Irish Food Board,Research And Regulatory,"Branding, Marketing And Distribution"
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Teagasc is actively involved in the implementation of the National Strategy for Horticulture (2023 – 2027).,Farmers’ Markets,Teagasc The Agriculture And Food Development Authority,Sales And Retail,Semi-State Agency
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Actively involved in the implementation of the National Strategy for Horticulture (2023-2027).,Farmers’ Markets,Enterprise Ireland,Sales And Retail,"Department Of Business, Employment And Retail"
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Producer Organisations are actively involved in workshops with interested growers as part of the National Strategy for Horticulture.,Farmers’ Markets,Retailers,Sales And Retail,Sales And Retail
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Growers are actively involved in the implementation of the National Strategy for Horticulture through workshops and collaboration on strategic actions.,Farmers’ Markets,Producers,Sales And Retail,Producers
